Appendix II Group A:

NumArray:   1  2  3  4  5 13, Overlaps: 1, Number of Good Drums = 11 / 15
NumArray:   1  2  3  4  6 12, Overlaps: 1, Number of Good Drums = 11 / 15
NumArray:   1  2  3  4  7 11, Overlaps: 1, Number of Good Drums = 11 / 15
NumArray:   1  2  3  4  8 10, Overlaps: 1, Number of Good Drums = 11 / 15
NumArray:   1  2  3  5  6 11, Overlaps: 1, Number of Good Drums = 11 / 15
NumArray:   1  2  3  5  7 10, Overlaps: 1, Number of Good Drums = 11 / 15
NumArray:   1  2  3  5  8  9, Overlaps: 1, Number of Good Drums = 11 / 15
NumArray:   1  2  3  6  7  9, Overlaps: 1, Number of Good Drums = 11 / 15
NumArray:   1  2  4  5  6 10, Overlaps: 1, Number of Good Drums = 7 / 15
NumArray:   1  2  4  5  7  9, Overlaps: 1, Number of Good Drums = 7 / 15
NumArray:   1  2  3  4  6 13, Overlaps: 2, Number of Good Drums = 66 / 105
NumArray:   1  2  3  4  7 12, Overlaps: 2, Number of Good Drums = 66 / 105
NumArray:   1  2  3  4  8 11, Overlaps: 2, Number of Good Drums = 66 / 105
NumArray:   1  2  3  4  9 10, Overlaps: 2, Number of Good Drums = 62 / 105
NumArray:   1  2  3  5  6 12, Overlaps: 2, Number of Good Drums = 57 / 105
NumArray:   1  2  3  5  7 11, Overlaps: 2, Number of Good Drums = 57 / 105
NumArray:   1  2  3  5  8 10, Overlaps: 2, Number of Good Drums = 57 / 105
NumArray:   1  2  3  6  7 10, Overlaps: 2, Number of Good Drums = 43 / 105
NumArray:   1  2  3  6  8  9, Overlaps: 2, Number of Good Drums = 41 / 105
NumArray:   1  2  4  5  6 11, Overlaps: 2, Number of Good Drums = 40 / 105
NumArray:   1  2  4  5  7 10, Overlaps: 2, Number of Good Drums = 40 / 105
NumArray:   1  2  4  5  8  9, Overlaps: 2, Number of Good Drums = 39 / 105
NumArray:   1  2  4  6  7  9, Overlaps: 2, Number of Good Drums = 38 / 105
NumArray:   1  2  3  4  7 13, Overlaps: 3, Number of Good Drums = 303 / 465
NumArray:   1  2  3  4  8 12, Overlaps: 3, Number of Good Drums = 285 / 465
NumArray:   1  2  3  4  9 11, Overlaps: 3, Number of Good Drums = 199 / 465
NumArray:   1  2  3  5  6 13, Overlaps: 3, Number of Good Drums = 227 / 465
NumArray:   1  2  3  5  7 12, Overlaps: 3, Number of Good Drums = 212 / 465
NumArray:   1  2  3  5  8 11, Overlaps: 3, Number of Good Drums = 193 / 465
NumArray:   1  2  3  5  9 10, Overlaps: 3, Number of Good Drums = 187 / 465
NumArray:   1  2  3  6  7 11, Overlaps: 3, Number of Good Drums = 155 / 465
NumArray:   1  2  3  6  8 10, Overlaps: 3, Number of Good Drums = 140 / 465
NumArray:   1  2  3  7  8  9, Overlaps: 3, Number of Good Drums = 73 / 465
NumArray:   1  2  4  5  6 12, Overlaps: 3, Number of Good Drums = 173 / 465
NumArray:   1  2  4  5  7 11, Overlaps: 3, Number of Good Drums = 168 / 465
NumArray:   1  2  4  5  8 10, Overlaps: 3, Number of Good Drums = 164 / 465
NumArray:   1  2  4  6  7 10, Overlaps: 3, Number of Good Drums = 132 / 465
NumArray:   1  2  4  6  8  9, Overlaps: 3, Number of Good Drums = 125 / 465
NumArray:   1  2  3  4  8 13, Overlaps: 4, Number of Good Drums = 686 / 1450
NumArray:   1  2  3  4  9 12, Overlaps: 4, Number of Good Drums = 417 / 1450
NumArray:   1  2  3  4 10 11, Overlaps: 4, Number of Good Drums = 255 / 1450
NumArray:   1  2  3  5  7 13, Overlaps: 4, Number of Good Drums = 639 / 1450
NumArray:   1  2  3  5  8 12, Overlaps: 4, Number of Good Drums = 577 / 1450
NumArray:   1  2  3  5  9 11, Overlaps: 4, Number of Good Drums = 498 / 1450
NumArray:   1  2  3  6  7 12, Overlaps: 4, Number of Good Drums = 467 / 1450
NumArray:   1  2  3  6  8 11, Overlaps: 4, Number of Good Drums = 385 / 1450
NumArray:   1  2  3  6  9 10, Overlaps: 4, Number of Good Drums = 345 / 1450
NumArray:   1  2  3  7  8 10, Overlaps: 4, Number of Good Drums = 211 / 1450
NumArray:   1  2  4  5  6 13, Overlaps: 4, Number of Good Drums = 601 / 1500
NumArray:   1  2  4  5  7 12, Overlaps: 4, Number of Good Drums = 574 / 1500
